Time (s),x,y,z
4467.285,0.154894432,-0.32980838,0.456909044
4479.706,0.1549856,-0.32969368,0.455070174
4492.12,0.154917224,-0.32978544,0.456140062
4504.535,0.154712096,-0.32957898,0.454785985
4516.949,0.154712096,-0.32955604,0.454301192
4529.363,0.154552552,-0.32969368,0.455889307
4541.777,0.154712096,-0.3296478,0.455337646
4554.199,0.154666512,-0.3294184,0.453398474
4566.613,0.155122352,-0.32937252,0.451308849
4579.027,0.155304688,-0.3294184,0.450406131
4591.441,0.155259104,-0.3296478,0.452479039
4603.863,0.154962808,-0.32960192,0.453281455
4616.277,0.155167936,-0.32951016,0.451944095
4628.691,0.155122352,-0.32951016,0.451910661
4641.105,0.155122352,-0.32951016,0.451793642
4653.527,0.15521352,-0.32948722,0.451576321
4665.941,0.155190728,-0.32946428,0.451158396
4678.355,0.1549856,-0.3293037,0.450907641
4690.769,0.154917224,-0.32916606,0.449052054
4703.191,0.155122352,-0.32902842,0.446494353
4715.605,0.155053976,-0.32891372,0.445424465
4728.019,0.155167936,-0.32889078,0.444688917
4740.433,0.155304688,-0.32891372,0.443652463
4752.855,0.155600984,-0.3289596,0.443619029
4765.269,0.155692152,-0.3290743,0.444087105
4777.683,0.155600984,-0.32891372,0.44249899
4790.105,0.15544144,-0.32923488,0.446260315
4802.519,0.155304688,-0.32951016,0.450004923
4814.933,0.155259104,-0.32955604,0.450573301
4827.347,0.155350272,-0.32937252,0.449068771
4839.761,0.155487024,-0.32937252,0.448500393
4852.183,0.155373064,-0.32923488,0.447280052
4864.597,0.155418648,-0.32914312,0.446494353
4877.011,0.15532748,-0.32914312,0.446093145
4889.425,0.155145144,-0.32948722,0.449737451
4901.839,0.155236312,-0.32934958,0.449102205
4914.261,0.15532748,-0.32916606,0.447213184
4926.675,0.155281896,-0.32914312,0.446778542
4939.105,0.155304688,-0.32902842,0.445374314
4951.511,0.155509816,-0.3289596,0.443936652
4963.925,0.155760528,-0.32868432,0.440710271
4976.339,0.155487024,-0.32877608,0.441546121
4988.753,0.155418648,-0.3288449,0.442365254
5001.167,0.155623776,-0.3287302,0.44049295
5013.581,0.155806112,-0.32854668,0.437968683
5026.003,0.155806112,-0.3286155,0.438035551
5038.417,0.155828904,-0.32856962,0.437600909
5050.831,0.155806112,-0.32845492,0.436731625
5063.253,0.156056824,-0.3281567,0.432769696
5075.667,0.155988448,-0.32822552,0.432953583
5088.081,0.155851696,-0.32843198,0.435176944
5100.495,0.15589728,-0.32840904,0.435594869
5112.91,0.155806112,-0.32845492,0.43648087
5125.331,0.155760528,-0.3286155,0.438252872
5137.745,0.155646568,-0.32866138,0.439389628
5150.16,0.155692152,-0.32870726,0.439974723
5162.581,0.155737736,-0.3287302,0.439406345
5174.995,0.155828904,-0.3285008,0.437300003
5187.41,0.155737736,-0.3286155,0.438386608
5199.824,0.155714944,-0.32870726,0.439289326
5212.245,0.155760528,-0.32856962,0.437868381
5224.66,0.155760528,-0.3286155,0.438135853
5237.074,0.1555554,-0.32882196,0.440459516
5249.488,0.155532608,-0.32886784,0.441562838
5261.902,0.155350272,-0.32898254,0.443719331
5274.324,0.155304688,-0.32905136,0.444939672
5286.738,0.155623776,-0.32875314,0.440710271
5299.152,0.15566936,-0.32856962,0.438202721
5311.566,0.155418648,-0.32866138,0.439540081
5323.988,0.1555554,-0.32854668,0.438068985
5336.402,0.155464232,-0.32845492,0.437751362
5348.816,0.155600984,-0.32836316,0.436179964
5361.23,0.155509816,-0.3283861,0.436531021
